#,obj_tags,obj_count,raw_id,identifier,typ,coord1_(ICRS,J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,bib,not
220,,0,(null),2MASX J19201923+4408326,GiC,19 20 19.2012630456 +44 08 32.786773188,~,~,~,~,~,~,2,0
221,,0,(null),2MASX J19201995+4358346,GiC,19 20 19.9704625080 +43 58 35.006799972,~,~,~,~,~,~,4,0
222,,0,(null),2MASX J19202364+4350426,GiC,19 20 23.6802893400 +43 50 42.559936224,~,~,~,~,~,~,2,0
223,,0,(null),2MASX J19202630+4412596,GiC,19 20 26.3414124600 +44 12 59.138329788,~,~,~,~,~,~,3,0
224,,0,(null),2MASX J19202790+4336200,GiC,19 20 27.9282332928 +43 36 20.529382320,~,~,~,~,~,~,3,0
225,,0,(null),2MASX J19202828+4401340,GiC,19 20 28.3020768240 +44 01 33.756603456,~,~,~,~,~,~,3,0
226,,0,(null),2MASX J19203208+4400481,GiC,19 20 32.0999408472 +44 00 47.788598088,~,~,~,~,~,~,2,0
227,,0,(null),2MASS J19203259+4401066,GiC,19 20 32.5860873720 +44 01 06.426638544,~,~,~,~,~,~,4,1
228,,0,(null),2MASX J19203331+4357521,GiC,19 20 33.3351045408 +43 57 51.795906264,~,~,~,~,~,~,4,0
229,,0,(null),2MASX J19203353+4407171,GiC,19 20 33.5195984136 +44 07 16.661625564,~,~,~,~,~,~,2,0
230,,0,(null),2MASX J19203498+4338071,GiC,19 20 34.9690720728 +43 38 06.786497688,~,~,~,~,~,~,4,1
231,,0,(null),2MASX J19203516+4357461,GiC,19 20 35.2062212472 +43 57 46.039238784,~,~,~,~,~,~,1,0
232,,0,(null),2MASS J19203678+4411140,GiC,19 20 36.788 +44 11 14.08,~,~,~,~,~,~,4,0
233,,0,(null),2MASX J19203802+4401051,GiC,19 20 38.0503698888 +44 01 04.563866316,~,~,~,~,~,~,5,0
234,,0,(null),2MASX J19203845+4407171,GiC,19 20 38.4523977240 +44 07 16.934718576,~,~,~,~,~,~,3,0
235,,0,(null),2MASX J19203895+4335411,GiC,19 20 38.9306681424 +43 35 40.923885696,~,~,~,~,~,~,3,0
236,,0,(null),[OHF95] ACO 2319 376,GiC,19 20 39.0 +43 40 10,~,~,~,~,~,~,2,0
237,,0,(null),2MASX J19204096+4408451,GiC,19 20 41.0052581352 +44 08 45.368212992,~,~,~,~,~,~,2,0
238,,0,(null),2MASX J19204128+4357171,GiC,19 20 41.2718688768 +43 57 16.919868996,~,~,~,~,~,~,5,0
239,,0,(null),2MASX J19204134+4406191,GiC,19 20 41.3760198048 +44 06 18.873098424,~,~,~,~,~,~,3,0
240,,0,(null),2MASX J19204220+4356371,GiC,19 20 42.2365415928 +43 56 37.287775104,~,~,~,~,~,~,4,0
241,,0,(null),2MASX J19204259+4352521,GiC,19 20 42.5793243096 +43 52 51.924350712,~,~,~,~,~,~,7,1
242,,0,(null),2MASX J19204339+4402501,GiC,19 20 43.3913929896 +44 02 50.020066644,~,~,~,~,~,~,2,0
243,,0,(null),LEDA 2230938,GiC,19 20 44.4 +43 51 38,~,~,~,~,~,~,3,0
244,,0,(null),2MASX J19204645+4401112,GiC,19 20 46.458 +44 01 11.20,~,~,~,~,~,~,4,0
245,,0,(null),2MASX J19204932+4412092,GiC,19 20 49.3292286024 +44 12 09.147029616,~,~,~,~,~,~,4,0
246,,0,(null),2MASX J19204932+4403232,GiC,19 20 49.3499128944 +44 03 22.626790488,~,~,~,~,~,~,2,0
247,,0,(null),2MASX J19205025+4403182,GiC,19 20 50.2443784176 +44 03 18.521604972,~,~,~,~,~,~,2,0
248,,0,(null),2MASX J19205063+4357342,GiC,19 20 50.6066029968 +43 57 34.577216712,~,~,~,~,~,~,3,0
249,,0,(null),2MASX J19205119+4338352,GiC,19 20 51.196 +43 38 35.22,~,~,~,~,~,~,3,0
250,,0,(null),[OHF95] ACO 2319 281,GiC,19 20 52.9 +43 48 52,~,~,~,~,~,~,2,0
251,,0,(null),2MASX J19205572+4405022,GiC,19 20 55.7303125584 +44 05 02.404425768,~,~,~,~,~,~,3,0
252,,0,(null),2MASX J19205915+4353241,GiC,19 20 59.1803644464 +43 53 23.755570620,~,~,~,~,~,~,3,0
253,,0,(null),2MASX J19210046+4407361,G,19 21 00.5159163144 +44 07 36.069799512,~,~,~,~,~,~,4,0
254,,0,(null),2MASX J19210084+4410571,GiC,19 21 00.8788489080 +44 10 57.250949772,~,~,~,~,~,~,3,0
255,,0,(null),2MASX J19210322+4353401,GiC,19 21 03.1752023880 +43 53 40.626030948,~,~,~,~,~,~,2,0
256,,0,(null),2MASX J19210369+4357081,GiC,19 21 03.6904143072 +43 57 08.665575048,~,~,~,~,~,~,2,0
257,,0,(null),2MASX J19210396+4359171,GiC,19 21 03.9606203952 +43 59 17.127070908,~,~,~,~,~,~,2,0
258,,0,(null),LEDA 2236102,rG,19 21 05.566 +44 04 44.16,~,~,~,~,~,~,4,0
259,,0,(null),NAME ACO 2319B,ClG,19 21 06.0 +44 02 00,~,~,~,~,~,~,5,1
260,,0,(null),2MASX J19210641+4347472,GiC,19 21 06.4426168296 +43 47 47.116323168,~,~,~,~,~,~,2,0
261,,0,(null),2MASX J19210711+4356551,GiC,19 21 07.119 +43 56 55.14,~,~,~,~,~,~,2,0
262,,0,(null),2MASX J19210739+4353432,GiC,19 21 07.4125486872 +43 53 43.307566260,~,~,~,~,~,~,2,0
263,,0,(null),2MASX J19210752+4344351,GiC,19 21 07.5338805456 +43 44 35.327525784,~,~,~,~,~,~,2,0
264,,0,(null),2MASS J19210755+4359144,GiC,19 21 07.5756432984 +43 59 14.347555224,~,~,~,~,~,~,5,0
265,,0,(null),2MASX J19210920+4358093,G,19 21 09.207 +43 58 09.30,~,~,~,~,~,~,4,0
266,,0,(null),[OHF95] ACO 2319 269,GiC,19 21 09.5 +43 56 53,~,~,~,~,~,~,2,0
267,,0,(null),2MASS J19210952+4411190,GiC,19 21 09.5143932072 +44 11 19.027642596,~,~,~,~,~,~,3,1
268,,0,(null),Z 230-7,BiC,19 21 10.0202476008 +43 56 44.124140724,~,15.3,~,~,~,~,25,1
269,,0,(null),2MASX J19211044+4407103,GiC,19 21 10.4241018792 +44 07 10.482090132,~,~,~,~,~,~,2,0
270,,0,(null),2MASX J19211080+4355033,GiC,19 21 10.8087754104 +43 55 03.134722728,~,~,~,~,~,~,4,0
271,,0,(null),2MASX J19211095+4400063,GiC,19 21 10.9127554752 +44 00 06.133202784,~,~,~,~,~,~,2,0
272,,0,(null),2MASX J19211127+4354263,GiC,19 21 11.3171238888 +43 54 26.357203692,~,~,~,~,~,~,6,0
273,,0,(null),2MASX J19211213+4404043,GiC,19 21 12.0947938128 +44 04 04.405091592,~,~,~,~,~,~,5,0
274,,0,(null),2MASX J19211227+4355553,GiC,19 21 12.2490595800 +43 55 55.110862776,~,~,~,~,~,~,2,0
275,,0,(null),[OHF95] ACO 2319 289,GiC,19 21 13.1 +43 57 33,~,~,~,~,~,~,2,0
276,,0,(null),ACO 2319,ClG,19 21 14.0 +43 56 57,~,~,~,~,~,~,483,1
277,,0,(null),2MASS J19211488+4357091,GiC,19 21 14.8891454784 +43 57 09.177879132,~,~,~,~,~,~,3,1
278,,0,(null),2MASX J19211491+4404503,GiC,19 21 14.9280119664 +44 04 49.896171372,~,~,~,~,~,~,2,0
279,,0,(null),2MASX J19211625+4356563,GiC,19 21 16.3037697240 +43 56 56.250126924,~,~,~,~,~,~,2,0
280,,0,(null),2MASX J19211644+4355403,GiC,19 21 16.4570003736 +43 55 40.889581464,~,~,~,~,~,~,2,0
281,,0,(null),2MASX J19211732+4343583,GiC,19 21 17.3330506920 +43 43 58.134573048,~,~,~,~,~,~,2,0
282,,0,(null),2MASX J19211762+4401103,GiC,19 21 17.6022038496 +44 01 10.306572924,~,~,~,~,~,~,3,0
283,,0,(null),NAME ACO 2319A,ClG,19 21 18.0 +43 56 00,~,~,~,~,~,~,5,1
284,,0,(null),2MASX J19212126+4354524,GiC,19 21 21.2864082048 +43 54 52.363944036,~,~,~,~,~,~,2,0
285,,0,(null),2MASX J19212197+4404044,GiC,19 21 22.0115848632 +44 04 04.435439160,~,~,~,~,~,~,2,0
286,,0,(null),[OHF95] ACO 2319 265,GiC,19 21 22.4 +43 57 10,~,~,~,~,~,~,2,0
287,,0,(null),2MASX J19212244+4402164,GiC,19 21 22.4156755824 +44 02 16.741741308,~,~,~,~,~,~,2,0
288,,0,(null),2MASX J19212255+4354434,G,19 21 22.5139691136 +43 54 43.678094148,~,~,~,~,~,~,4,0
289,,0,(null),[OHF95] ACO 2319 257,GiC,19 21 22.9765329117 +43 56 08.079267534,~,~,~,~,~,~,3,0
290,,0,(null),2MASS J19212362+4351527,GiC,19 21 23.625 +43 51 52.78,~,~,~,~,~,~,4,0
291,,0,(null),2MASX J19212407+4338054,GiC,19 21 24.1358170296 +43 38 05.425757304,~,~,~,~,~,~,3,0
292,,0,(null),2MASX J19212596+4403014,GiC,19 21 25.964 +44 03 01.44,~,~,~,~,~,~,3,0
293,,0,(null),2MASX J19212726+4401594,GiC,19 21 27.2329170600 +44 02 00.057464556,~,~,~,~,~,~,3,0
294,,0,(null),2MASX J19212734+4410594,GiC,19 21 27.3460910856 +44 10 59.339657208,~,~,~,~,~,~,2,0
295,,0,(null),2MASX J19212755+4353054,G,19 21 27.6100587360 +43 53 05.110642644,~,~,~,~,~,~,6,0
296,,0,(null),2MASX J19213338+4350294,GiC,19 21 33.3992448552 +43 50 29.885329680,~,~,~,~,~,~,3,0
297,,0,(null),2MASX J19213375+4413344,GiC,19 21 33.7409551344 +44 13 34.773516912,~,~,~,~,~,~,2,0
298,,0,(null),2MASX J19213856+4355024,GiC,19 21 38.5985978736 +43 55 02.776447920,~,~,~,~,~,~,2,0
299,,0,(null),2MASX J19213883+4348144,GiC,19 21 38.8760486352 +43 48 13.973249268,~,~,~,~,~,~,2,0
300,,0,(null),NVSS J192142+435749,rG,19 21 41.6458949304 +43 57 48.124774728,~,~,~,~,~,~,12,0
301,,0,(null),2MASX J19214403+4356144,GiC,19 21 44.033 +43 56 14.42,~,~,~,~,~,~,2,0
302,,0,(null),2MASX J19214437+4346434,GiC,19 21 44.4072808224 +43 46 43.397451660,~,~,~,~,~,~,2,0
303,,0,(null),2MASX J19214630+4357059,GiC,19 21 46.2452333928 +43 57 05.949794844,~,~,~,~,~,~,6,0
304,,0,(null),2MASX J19215233+4351020,GiC,19 21 52.3264922136 +43 51 02.071293624,~,~,~,~,~,~,3,0
305,,0,(null),2MASX J19215613+4349390,GiC,19 21 56.1383884992 +43 49 39.017298396,~,~,~,~,~,~,2,0
306,,0,(null),2MASX J19215751+4349310,GiC,19 21 57.5391878664 +43 49 30.853203672,~,~,~,~,~,~,3,0
307,,0,(null),2MASX J19220445+4402290,GiC,19 22 04.468 +44 02 29.40,~,~,~,~,~,~,4,0
308,,0,(null),[OHF95] ACO 2319 369,GiC,19 22 08.4 +43 46 28,~,~,~,~,~,~,2,0
309,,0,(null),2MASX J19221562+4348190,GiC,19 22 15.6049959072 +43 48 19.010038428,~,~,~,~,~,~,8,0
310,,0,(null),2MASX J19222392+4347595,GiC,19 22 23.9243419320 +43 47 59.809716888,~,~,~,~,~,~,3,0
311,,0,(null),2MASX J19222611+4409395,GiC,19 22 26.1258639888 +44 09 39.924549720,~,~,~,~,~,~,2,0
312,,0,(null),2MASX J19222896+4338395,GiC,19 22 28.9851615528 +43 38 39.843642840,~,~,~,~,~,~,3,0
313,,0,(null),2MASX J19223665+4355156,GiC,19 22 36.6881173440 +43 55 15.895033428,~,~,~,~,~,~,2,0
314,,0,(null),2MASX J19224278+4341326,GiC,19 22 42.8102994936 +43 41 32.981909676,~,~,~,~,~,~,2,0
315,,0,(null),2MASX J19224313+4345336,GiC,19 22 43.1357533608 +43 45 33.901139700,~,~,~,~,~,~,3,0
316,,0,(null),2MASX J19224636+4405456,GiC,19 22 46.3431829608 +44 05 45.149671392,~,~,~,~,~,~,2,0
317,,0,(null),2MASX J19224998+4353256,GiC,19 22 49.9560239376 +43 53 25.107049068,~,~,~,~,~,~,2,0

